record_type,rank,models,handle,title,type,us_listed,us_in_stock,us_price,ca_listed,ca_in_stock,ca_price,current_model_tags,legacy_model_tags,discontinued_models_listed,n_discontinued_listed,page_fit_text,evidence_count,best_quotes,oem_status,competitor_price_band,class_abc,liability,h2s_printability,suggested_next
accessory_fit,,,comfort-saddle,Comfort Saddle,Accessories,Y,Y,59.00,Y,Y,79.00,RC5+;RC5+ST;RE5;RE5+;RK;RR6+;RR6+ST;RRn+;RRn2;RRn3+;RT;RW4;RW5;RsR;RsT,RC4;RCST3;RM4;RMST2;RMis1;RR5;RRST1;RRn1;RadCity (2017);RadCity (2018);RadCity (2019);RadCity Step-Thru (2018);RadCity Step-Thru (2019);RadMini (2016);RadMini (2017);RadMini (2018);RadMini (2019);RadMini Step-Thru (2019);RadRover (2015);RadRover (2016);RadRover (2017);RadRover (2018);RadRover (2019);RadWagon (2015);RadWagon (2016);RadWagon (2017);RadWagon (2018);RadWagon (2019),RC4;RC5+;RC5+ST;RCST3;RE5;RM4;RMST2;RMis1;RR5;RR6+;RR6+ST;RRST1;RRn+;RRn1;RRn2;RRn3+;RT;RW4,18,"Compatibility | All ebike models | RadRunner Plus, RadRunner 2, and RadRunner 1 require a replacement seatpost that has seat rails (sold separately) | Not compatible with the RadRunner Passenger Package | RadTrike - Replacing the Trike saddle will result in removal of the backrest as it is all one a",,,,,,,,
accessory_fit,,,conestoga,Conestoga,Accessories,Y,Y,249.00,Y,N,299.00,RW4;RW5,,RW4,1,Compatibility | RadWagon MY25 | RadWagon 5 | RadWagon 4 | Details | Requires the RadWagon Caboose (sold seperately) | Sizing & Capacity | 35.9 in x 23 in x 24.6 in | Installation & Use | Installation instructions | Overview | Designed to accommodate up to two children and two | Thule Yepp 2 Maxi | c,,,,,,,,
accessory_fit,,,copy-of-brake-lever-2016-v2-radrover-radwagon,Brake Levers,Spare Parts,N,,,Y,Y,25.00,RE5;RRn+;RRn2;RW4,RC4;RCST3;RM4;RMST2;RMis1;RR5;RRST1;RRn1;RadCity (2017);RadCity (2018);RadCity (2019);RadCity Step-Thru (2018);RadCity Step-Thru (2019);RadMini (2016);RadMini (2017);RadMini (2018);RadMini (2019);RadMini Step-Thru (2019);RadRover (2015);RadRover (2016);RadRover (2017);RadRover (2018);RadRover (2019);RadWagon (2015);RadWagon (2016);RadWagon (2017);RadWagon (2018);RadWagon (2019),RC4;RCST3;RE5;RM4;RMST2;RMis1;RR5;RRST1;RRn+;RRn1;RRn2;RW4,12,,,,,,,,,
accessory_fit,,,crank-set-1,Crank Arm,Spare Parts,N,,,Y,Y,47.00,RE5;RRn+;RRn2;RW4,RC4;RCST3;RM4;RMST2;RMis1;RR5;RRST1;RRn1;RadCity (2017);RadCity (2018);RadCity (2019);RadCity Step-Thru (2018);RadCity Step-Thru (2019);RadMini (2016);RadMini (2017);RadMini (2018);RadMini (2019);RadMini Step-Thru (2019);RadRover (2015);RadRover (2016);RadRover (2017);RadRover (2018);RadRover (2019);RadWagon (2015);RadWagon (2016);RadWagon (2017);RadWagon (2018);RadWagon (2019),RC4;RCST3;RE5;RM4;RMST2;RMis1;RR5;RRST1;RRn+;RRn1;RRn2;RW4,12,,,,,,,,,
accessory_fit,,,cst-big-boat-tire-20x3,"CST Big Boat Tire 20"" x 3.0""",Spare Parts,Y,Y,49.50,N,,,RE5;RRn+;RRn2,RM4;RMST2;RRn1,RE5;RM4;RMST2;RRn+;RRn1;RRn2,6,"Compatibility | RadMini, RadMini Step-Thru, RadRunner 1, RadRunner 2, RadRunner Plus | Inner Tube - 20"" x 3"" | Details | 20\"" x 3\"" | Built-in puncture resistant layer | Sizing & Capacity | Overview | Replacement CST Big Boat Tire 20"" x 3.0"" | View more information | on tire performance and selectin",,,,,,,,
accessory_fit,,,cst-big-boat-tires-20-x-3-0,"CST Big Boat Tire 20"" x 3.0""",Spare Parts,N,,,Y,Y,35.00,RE5;RRn+;RRn2,RM4;RMST2;RRn1,RE5;RM4;RMST2;RRn+;RRn1;RRn2,6,,,,,,,,,
accessory_fit,,,electric-bike-brake-cable-kits,Brake Cable Kit,Spare Parts,Y,Y,15.00,N,,,RE5;RRn+;RRn2;RW4,RC4;RCST3;RM4;RMST2;RMis1;RR5;RRST1;RRn1;RadWagon (2015);RadWagon (2016);RadWagon (2017);RadWagon (2018);RadWagon (2019),RC4;RCST3;RE5;RM4;RMST2;RMis1;RR5;RRST1;RRn+;RRn1;RRn2;RW4,12,"Compatibility | Compatible on any model with mechanical brakes | Cut down cable to size | Sizing & Capacity | Overview | Replacement brake cable kit: 1850mm housing, includes a 2000 mm stainless steel brake cable, housing, crimp end. | Sized for Wagon V4, cut to length for other models. | Brake Cabl",,,,,,,,
accessory_fit,,,electric-bike-brake-levers,Brake Lever,Spare Parts,Y,Y,25.00,N,,,RE5;RRn+;RRn2;RW4,RC4;RCST3;RM4;RMST2;RMis1;RR5;RRST1;RRn1;RadCity (2017);RadCity (2018);RadCity (2019);RadCity Step-Thru (2018);RadCity Step-Thru (2019);RadMini (2016);RadMini (2017);RadMini (2018);RadMini (2019);RadMini Step-Thru (2019);RadRover (2015);RadRover (2016);RadRover (2017);RadRover (2018);RadRover (2019);RadWagon (2015);RadWagon (2016);RadWagon (2017);RadWagon (2018);RadWagon (2019),RC4;RCST3;RE5;RM4;RMST2;RMis1;RR5;RRST1;RRn+;RRn1;RRn2;RW4,12,"Compatibility | All RadCity models, except the RadCity 5 Plus | RadExpand 5 | All RadMini models | RadMission | All RadRover models, except the RadRover 6 Plus | All RadRunner models, except the RadRunner 3 Plus | All RadWagon models | Sizing & Capacity | Installation & Use | Mechanical brake lever ",,,,,,,,
accessory_fit,,,electric-bike-crank-arms,Crank Arm,Spare Parts,Y,Y,27.50,N,,,RE5;RRn+;RRn2;RW4,RC4;RCST3;RM4;RMST2;RMis1;RR5;RRST1;RRn1;RadCity (2017);RadCity (2018);RadCity (2019);RadCity Step-Thru (2018);RadCity Step-Thru (2019);RadMini (2016);RadMini (2017);RadMini (2018);RadMini (2019);RadMini Step-Thru (2019);RadRover (2015);RadRover (2016);RadRover (2017);RadRover (2018);RadRover (2019);RadWagon (2015);RadWagon (2016);RadWagon (2017);RadWagon (2018);RadWagon (2019),RC4;RCST3;RE5;RM4;RMST2;RMis1;RR5;RRST1;RRn+;RRn1;RRn2;RW4,12,,,,,,,,,
accessory_fit,,,electric-bike-handlebar-grips,Handlebar Grips,Spare Parts,Y,Y,29.00,N,,,RE5;RRn+;RRn2;RRn3+;RW4,RC4;RCST3;RM4;RMST2;RMis1;RR5;RRST1;RRn1;RadCity (2017);RadCity (2018);RadCity (2019);RadCity Step-Thru (2018);RadCity Step-Thru (2019);RadMini (2016);RadMini (2017);RadMini (2018);RadMini (2019);RadMini Step-Thru (2019);RadRover (2015);RadRover (2016);RadRover (2017);RadRover (2018);RadRover (2019);RadWagon (2015);RadWagon (2016);RadWagon (2017);RadWagon (2018);RadWagon (2019),RC4;RCST3;RE5;RM4;RMST2;RMis1;RR5;RRST1;RRn+;RRn1;RRn2;RRn3+;RW4,13,"Compatibility | All Rad Power Bikes | Select Color: | Black Rubber | Decrease quantity for Handlebar Grips | Increase quantity for Handlebar Grips | Add to Cart | Free shipping on orders over $150* | *Shipping fees and restrictions may apply in Alaska and Hawaii, see checkout. | Compatibility | All ",,,,,,,,
accessory_fit,,,electric-bike-headlights,Headlight - Standard,Spare Parts,Y,Y,44.00,N,,,RC5+;RC5+ST;RE5;RE5+;RR6+;RR6+ST;RRn+;RRn2;RRn3+;RT;RW4;RW5;RsR;RsT,RC4;RCST3;RM4;RMST2;RMis1;RR5;RRST1;RRn1;RadCity (2018);RadCity (2019);RadCity Step-Thru (2018);RadCity Step-Thru (2019);RadMini (2018);RadMini (2019);RadMini Step-Thru (2019);RadRover (2018);RadRover (2019);RadWagon (2018);RadWagon (2019),RC4;RC5+;RC5+ST;RCST3;RE5;RM4;RMST2;RMis1;RR5;RR6+;RR6+ST;RRST1;RRn+;RRn1;RRn2;RRn3+;RT;RW4,18,Compatibility | All Rad ebikes except the following models: | Rover High-Step V1 (2015) | RadRover 2 (2016-2017) | RadWagon 1 (2015-2017) | RadCity 1 HS (2017) | RadMini 1 (2016-2017) | Details | 48V headlight | Brightness: 200 lumens | Sizing & Capacity | Overview | Standard replacement headlight w,,,,,,,,
accessory_fit,,,electric-bike-kickstands,Kickstand,Spare Parts,Y,Y,33.00,N,,,RE5;RRn2;RW4;RW5;RsR;RsT,RC4;RCST3;RM4;RMST2;RMis1;RR5;RRST1;RRn1;RadCity (2017);RadCity (2018);RadCity (2019);RadCity Step-Thru (2018);RadCity Step-Thru (2019);RadMini (2016);RadMini (2017);RadMini (2018);RadMini (2019);RadMini Step-Thru (2019);RadRover (2015);RadRover (2016);RadRover (2017);RadRover (2018);RadRover (2019);RadWagon (2015);RadWagon (2016);RadWagon (2017);RadWagon (2018);RadWagon (2019),RC4;RCST3;RE5;RM4;RMST2;RMis1;RR5;RRST1;RRn1;RRn2;RW4,11,"Compatibility | The RadRunner kickstand is only compatible with the RadRunner 1 & 2, not the RadRunner Plus | Sizing & Capacity | Overview | A selection of replacement kickstands compatible with designated ebike models. | See here for the RadMission kickstand | . | Kickstand | You May Also Like | Ou",,,,,,,,
accessory_fit,,,electric-bike-shifter-cable-kits,Cable Kits - Shifter,Spare Parts,Y,Y,15.00,N,,,RC5+;RC5+ST;RE5;RE5+;RR6+;RR6+ST;RRn+;RRn3+;RsR;RsT,RC4;RCST3;RM4;RMST2;RR5;RRST1;RadCity (2017);RadCity (2018);RadCity (2019);RadCity Step-Thru (2018);RadCity Step-Thru (2019);RadMini (2016);RadMini (2017);RadMini (2018);RadMini (2019);RadMini Step-Thru (2019);RadRover (2015);RadRover (2016);RadRover (2017);RadRover (2018);RadRover (2019);RadWagon (2015);RadWagon (2016);RadWagon (2017);RadWagon (2018);RadWagon (2019),RC4;RC5+;RC5+ST;RCST3;RE5;RM4;RMST2;RR5;RR6+;RR6+ST;RRST1;RRn+;RRn3+,13,"Compatibility | All Rad Power Bikes with 7-speed Shifters | Decrease quantity for Cable Kits - Shifter | Increase quantity for Cable Kits - Shifter | Add to Cart | Free shipping on orders over $150* | *Shipping fees and restrictions may apply in Alaska and Hawaii, see checkout. | Compatibility | All",,,,,,,,
accessory_fit,,,electric-bike-shifters,Shimano Shifter,Spare Parts,Y,Y,25.00,N,,,RC5+;RC5+ST;RE5;RE5+;RR6+;RR6+ST;RRn+;RRn3+;RW4;RW5;RsR;RsT,RC4;RCST3;RM4;RMST2;RR5;RRST1;RadCity (2017);RadCity (2018);RadCity (2019);RadCity Step-Thru (2018);RadCity Step-Thru (2019);RadMini (2016);RadMini (2017);RadMini (2018);RadMini (2019);RadMini Step-Thru (2019);RadRover (2015);RadRover (2016);RadRover (2017);RadRover (2018);RadRover (2019);RadWagon (2015);RadWagon (2016);RadWagon (2017);RadWagon (2018);RadWagon (2019),RC4;RC5+;RC5+ST;RCST3;RE5;RM4;RMST2;RR5;RR6+;RR6+ST;RRST1;RRn+;RRn3+;RW4,14,"Compatibility | 7-Speed: All ebike models except for the Radster, RadRunner 1 & 2 and RadMission 1 | 8-speed: Radster models | 3-Speed: RadWagon (models 2015 - 2018) | Details | Includes: | Shifter | Cable | Tightening screw for shifter mounting clamp | Sizing & Capacity | Installation & Use | Insta",,,,,,,,
accessory_fit,,,enhanced-comfort-saddle,Enhanced Comfort Saddle,Accessories,Y,Y,69.00,Y,Y,99.00,RC5+;RC5+ST;RE5;RE5+;RK;RR6+;RR6+ST;RRn+;RRn2;RRn3+;RT;RW4;RW5;RsR;RsT,RC4;RCST3;RM4;RMST2;RMis1;RR5;RRST1;RRn1;RadCity (2017);RadCity (2018);RadCity (2019);RadCity Step-Thru (2018);RadCity Step-Thru (2019);RadMini (2016);RadMini (2017);RadMini (2018);RadMini (2019);RadMini Step-Thru (2019);RadRover (2015);RadRover (2016);RadRover (2017);RadRover (2018);RadRover (2019);RadWagon (2015);RadWagon (2016);RadWagon (2017);RadWagon (2018);RadWagon (2019),RC4;RC5+;RC5+ST;RCST3;RE5;RM4;RMST2;RMis1;RR5;RR6+;RR6+ST;RRST1;RRn+;RRn1;RRn2;RRn3+;RT;RW4,18,"Compatibility | All ebike models | RadRunner 1, 2, and Plus require a replacement seatpost with seat rails in order to use this saddle. Must purchase separately online or at a local bike shop. | RadRunners (all models): Not recommended for riders under 5'8"". RadRunner riders must make sure that the ",,,,,,,,
accessory_fit,,,external-battery-charge-port-cover,External Battery Charge Port Cover,Spare Parts,Y,Y,5.00,Y,Y,5.00,,,,0,Compatibility | Safe Shield External Battery (14Ah) | Rad Battery Pack (14Ah) | RadMission Battery Pack (10.5Ah) | Sizing & Capacity | Installation & Use | Use only non-metal objects or tools when installing the charge port cover to your existing charge port. Ensure the new charge port cover is secu,,,,,,,,
accessory_fit,,,fremont-pannier-bag,Fremont Pannier Bag,Accessories,Y,Y,66.75,Y,Y,71.25,RC5+;RC5+ST;RE5;RE5+;RK;RR6+;RR6+ST;RRn+;RRn+-MY25;RRn-MY25;RRn2;RRn3+;RRnMax;RW4;RW5;RsR;RsT,RC4;RCST3;RM4;RMST2;RMis1;RR5;RRST1;RRn1;RadCity (2017);RadCity (2018);RadCity (2019);RadCity Step-Thru (2018);RadCity Step-Thru (2019);RadMini (2016);RadMini (2017);RadMini (2018);RadMini (2019);RadMini Step-Thru (2019);RadRover (2015);RadRover (2016);RadRover (2017);RadRover (2018);RadRover (2019);RadWagon (2015);RadWagon (2016);RadWagon (2017);RadWagon (2018);RadWagon (2019),RC4;RC5+;RC5+ST;RCST3;RE5;RM4;RMST2;RMis1;RR5;RR6+;RR6+ST;RRST1;RRn+;RRn1;RRn2;RRn3+;RW4,17,Compatibility | All ebike models | RadRover Rear Rack (required for RadRover models) | RadMission Rear Rack (required for RadMission models) | Cannot be used with RadRunner Passenger Packages (including the standard package on the RadRunner Plus) | Details | Water-resistant construction | Inner zipp,,,,,,,,
accessory_fit,,,front-rack,Front Rack,Accessories,Y,Y,59.00,Y,N,79.00,RC5+;RC5+ST;RE5;RE5+;RK;RR6+;RR6+ST;RRn+-MY25;RRn-MY25;RRn2;RRn3+;RRnMax;RT;RW4;RW5;RsR;RsT,RC4;RCST3;RM4;RMST2;RMis1;RR5;RRST1;RRn1;RadCity (2018);RadCity (2019);RadCity Step-Thru (2018);RadCity Step-Thru (2019);RadMini (2018);RadMini (2019);RadMini Step-Thru (2019);RadRover (2018);RadRover (2019);RadWagon (2018);RadWagon (2019),RC4;RC5+;RC5+ST;RCST3;RE5;RM4;RMST2;RMis1;RR5;RR6+;RR6+ST;RRST1;RRn1;RRn2;RRn3+;RT;RW4,17,Compatibility | All 2018 and after model ebikes | NOT compatible with the Premium Headlight | Premium Headlight comes on the RadRunner Plus (must purchase the Standard Rad Headlight) | Details | Aluminum construction with durable matte black or orange finish | Stainless steel mounting hardware inclu,,,,,,,,
accessory_fit,,,grips-radrunner,RadRunner Handlebar Grips,Spare Parts,Y,Y,25.00,Y,Y,25.00,RRn2,RRn1,RRn1;RRn2,2,Compatibility | RadRunner MY25 (2025) | RadRunner 1-2 (2019-2025) | Spare and replacement parts are not eligible for returns or refunds. | Decrease quantity for RadRunner Handlebar Grips | Increase quantity for RadRunner Handlebar Grips | Add to Cart | Free shipping on orders over $150* | *Shipping ,,,,,,,,
accessory_fit,,,gub-pro-3-phone-mount,GUB PRO-3 Phone Mount,Accessories,Y,Y,25.00,Y,N,27.00,RC5+;RC5+ST;RE5;RE5+;RK;RRn+;RRn+-MY25;RRn-MY25;RRn2;RRn3+;RRnMax;RT;RW4;RW5;RsR;RsT,RC4;RCST3;RM4;RMST2;RMis1;RR5;RRST1;RRn1;RadCity (2017);RadCity (2018);RadCity (2019);RadCity Step-Thru (2018);RadCity Step-Thru (2019);RadMini (2016);RadMini (2017);RadMini (2018);RadMini (2019);RadMini Step-Thru (2019);RadRover (2015);RadRover (2016);RadRover (2017);RadRover (2018);RadRover (2019);RadWagon (2015);RadWagon (2016);RadWagon (2017);RadWagon (2018);RadWagon (2019),RC4;RC5+;RC5+ST;RCST3;RE5;RM4;RMST2;RMis1;RR5;RRST1;RRn+;RRn1;RRn2;RRn3+;RT;RW4,16,Compatibility | Not compatible with the RadRover 6 Plus | On the RadCity 5 Plus it cannot be mounted with the Rad Mirror due to limited handlebar space | Compatible with phones 3.5 in to 6.5 in | Details | CNC Alloy | 18 mm claws | Compatible with phones 3.5 in to 6.5 in | For your safety and the sa,,,,,,,,
accessory_fit,,,handlebar-bag,Handlebar Bag,Accessories,Y,Y,18.75,Y,Y,29.25,RC5+;RC5+ST;RE5;RE5+;RK;RR6+;RR6+ST;RRn+;RRn+-MY25;RRn-MY25;RRn2;RRn3+;RRnMax;RT;RW4;RW5;RsR;RsT,RC4;RCST3;RM4;RMST2;RMis1;RR5;RRST1;RRn1;RadCity (2017);RadCity (2018);RadCity (2019);RadCity Step-Thru (2018);RadCity Step-Thru (2019);RadMini (2016);RadMini (2017);RadMini (2018);RadMini (2019);RadMini Step-Thru (2019);RadRover (2015);RadRover (2016);RadRover (2017);RadRover (2018);RadRover (2019);RadWagon (2015);RadWagon (2016);RadWagon (2017);RadWagon (2018);RadWagon (2019),RC4;RC5+;RC5+ST;RCST3;RE5;RM4;RMST2;RMis1;RR5;RR6+;RR6+ST;RRST1;RRn+;RRn1;RRn2;RRn3+;RT;RW4,18,"Compatibility | All ebike models | Details | Insulated liner | Reflective Rad Power Bikes screen-print | Nylon | Sizing & Capacity | Dimensions (LxWxH): 6.2"" x 3.9"" x 3.9"" (16 cm x 10 cm x 10 cm) | Overview | Our custom stem bag features moveable, daisy-chain straps for multiple mounting locations a",,,,,,,,
accessory_fit,,,handlebar-grips,Handlebar Grips,Spare Parts,N,,,Y,Y,29.00,RE5;RRn+;RRn2;RRn3+;RW4,RC4;RCST3;RM4;RMST2;RMis1;RR5;RRST1;RRn1;RadCity (2017);RadCity (2018);RadCity (2019);RadCity Step-Thru (2018);RadCity Step-Thru (2019);RadMini (2016);RadMini (2017);RadMini (2018);RadMini (2019);RadMini Step-Thru (2019);RadRover (2015);RadRover (2016);RadRover (2017);RadRover (2018);RadRover (2019);RadWagon (2015);RadWagon (2016);RadWagon (2017);RadWagon (2018);RadWagon (2019),RC4;RCST3;RE5;RM4;RMST2;RMis1;RR5;RRST1;RRn+;RRn1;RRn2;RRn3+;RW4,13,,,,,,,,,
accessory_fit,,,handlebar-mitts,Handlebar Mitts,Accessories,Y,Y,59.25,N,,,RC5+;RC5+ST;RE5;RE5+;RK;RR6+;RR6+ST;RRn+;RRn2;RRn3+;RT;RW4;RW5;RsR;RsT,RC4;RCST3;RM4;RMST2;RMis1;RR5;RRST1;RadCity (2018);RadCity (2019);RadCity Step-Thru (2018);RadCity Step-Thru (2019);RadMini (2018);RadMini (2019);RadMini Step-Thru (2019);RadRover (2018);RadRover (2019);RadWagon (2018);RadWagon (2019),RC4;RC5+;RC5+ST;RCST3;RE5;RM4;RMST2;RMis1;RR5;RR6+;RR6+ST;RRST1;RRn+;RRn2;RRn3+;RT;RW4,17,"Compatibility | All 2018 and after model ebikes and etrikes | Note: the Handlebar Mitts cover the PAS adjustment buttons on all bike models, so riders will need to get used to adjusting PAS by feel. | Details | Neoprene with Ripstop and microfleece hinge | Water-resistant | Includes hardware to fit ",,,,,,,,
accessory_fit,,,headlight-herc-125mm-radster-all,Headlight - Radster,Spare Parts,Y,Y,55.00,Y,N,65.00,RsR;RsT,,,0,Compatibility | RadRunner Plus MY25 (2025) | Radster Trail Lg (2024) | Radster Trail Reg (2024) | Radster Road Lg (2024) | Radster Road Reg (2024) | Decrease quantity for Headlight - Radster | Increase quantity for Headlight - Radster | Back Order | Free shipping on orders over $150* | *Shipping fee,,,,,,,,
accessory_fit,,,headlight-radexpand,Headlight - RadExpand,Spare Parts,Y,Y,45.00,Y,Y,39.00,RE5,,RE5,1,Compatibility | RadExpand 5 | RadExpand | Sizing & Capacity | Overview | Replacement LED headlight for the RadExpand 5 and RadExpand 5 Plus electric folding bikes. All Rad ebikes come standard with a headlight. | Headlight - RadExpand | You May Also Like | Out of Stock | 1.5 | 2 Reviews | Headlight ,,,,,,,,
accessory_fit,,,headlight-radkick,Headlight - RadKick,Spare Parts,Y,Y,45.00,N,,,RK,,,0,"Compatibility | All RadKick models | Sizing & Capacity | Overview | Replacement headlight for RadKick models. | Model details: Headlight - 100mm, RadKick | Headlight - RadKick | You May Also Like | Out of Stock | 4.4 | 1510 Reviews | GUB PRO-3 Phone Mount | $25 | Add to Cart | Out of Stock | 4.1 | 8",,,,,,,,
accessory_fit,,,headlight-radmission,Headlight - RadMission,Spare Parts,Y,Y,45.00,Y,Y,49.00,,RMis1,RMis1,1,Compatibility | RadMission | Sizing & Capacity | Overview | Replacement headlight for the RadMission Electric Hybird Bike. | Headlight - RadMission | You May Also Like | Out of Stock | 1.5 | 2 Reviews | Headlight - Standard | $44 | Back Order | Out of Stock | 3.6 | 31 Reviews | Taillight-Standard | ,,,,,,,,
accessory_fit,,,headlight-radwagon-5,Headlight - RadWagon 5,Spare Parts,Y,Y,55.00,Y,Y,65.00,RW5,,,0,Compatibility | RadWagon 5 | Sizing & Capacity | Overview | Replacement headlight for the RadWagon 5 electric cargo bike. | Headlight - RadWagon 5 | You May Also Like | Out of Stock | 1.5 | 2 Reviews | Headlight - Standard | $44 | Back Order | Out of Stock | 3.6 | 31 Reviews | Taillight-Standard | $,,,,,,,,
accessory_fit,,,headlight-runner,Headlight - RadRunner,Spare Parts,Y,Y,45.00,Y,Y,25.00,RRn+;RRn2,RRn1,RRn+;RRn1;RRn2,3,"Compatibility | RadRunner MY25 (2025) | RadRunner 1-2 (2019-2024) | Decrease quantity for Headlight - RadRunner | Increase quantity for Headlight - RadRunner | Back Order | Free shipping on orders over $150* | *Shipping fees and restrictions may apply in Alaska and Hawaii, see checkout. | Compatibil",,,,,,,,
accessory_fit,,,hollywood-racks-ebike-hitch-rack,Hollywood Racks Sport Rider Rack,Accessories,Y,Y,529.99,Y,Y,799.99,RC5+;RC5+ST;RE5;RE5+;RK;RR6+;RR6+ST;RRn+;RRn+-MY25;RRn-MY25;RRn2;RRn3+;RRnMax;RW4;RW5;RsR;RsT,RC4;RCST3;RM4;RMST2;RMis1;RR5;RRST1;RRn1;RadCity (2017);RadCity (2018);RadCity (2019);RadCity Step-Thru (2018);RadCity Step-Thru (2019);RadMini (2016);RadMini (2017);RadMini (2018);RadMini (2019);RadMini Step-Thru (2019);RadRover (2015);RadRover (2016);RadRover (2017);RadRover (2018);RadRover (2019);RadWagon (2015);RadWagon (2016);RadWagon (2017);RadWagon (2018);RadWagon (2019),RC4;RC5+;RC5+ST;RCST3;RE5;RM4;RMST2;RMis1;RR5;RR6+;RR6+ST;RRST1;RRn+;RRn1;RRn2;RRn3+;RW4,17,Compatibility | Designed to carry all combinations of models except RadWagon 3 & RadTrike | Bike Adapter Bar | required for all step-thru and mid-step ebike models | Rack not to be used on a travel trailer | Details | Extra heavy duty wheel holders | Internally reinforced frame | External brace for ,,,,,,,,
accessory_fit,,,hollywood-rv-rider-rack,Hollywood Racks RV Rider Rack,Accessories,Y,Y,649.99,Y,Y,899.99,RC5+;RC5+ST;RE5;RK;RR6+;RR6+ST;RRn+;RRn+-MY25;RRn-MY25;RRn2;RRnMax;RW4,RC4;RCST3;RM4;RMST2;RMis1;RR5;RRST1;RRn1;RadCity (2017);RadCity (2018);RadCity (2019);RadCity Step-Thru (2018);RadCity Step-Thru (2019);RadMini (2016);RadMini (2017);RadMini (2018);RadMini (2019);RadMini Step-Thru (2019);RadRover (2015);RadRover (2016);RadRover (2017);RadRover (2018);RadRover (2019);RadWagon (2017),RC4;RC5+;RC5+ST;RCST3;RE5;RM4;RMST2;RMis1;RR5;RR6+;RR6+ST;RRST1;RRn+;RRn1;RRn2;RW4,16,"Compatibility | Designed to carry all combinations of models except RadWagon 3 & RadTrike | RadWagon MY25, RadWagon 5, and RadWagon 4 require the (optional) running board accessory to be removed before placing on rack | Rack not to be used on a travel trailer | Details | Carries up to two ebikes, up",,,,,,,,
accessory_fit,,,inner-tube-18-x-2-25,"Inner Tube - 18"" x 2.25""",Spare Parts,Y,Y,22.00,N,,,RT,,RT,1,"Compatibility | RadTrike | RadTrike Replacement Tire | Sizing & Capacity | Overview | Replacement inner tube for the RadTrike electric tricycle. | Inner Tube - 18"" x 2.25"" | You May Also Like | Out of Stock | Safe Shield™ Advanced External Battery (15 Ah) | $599 | Back Order | Out of Stock | Safe Sh",,,,,,,,
accessory_fit,,,inner-tube-20-x-3-3,Inner Tube - 20'' x 3.3'',Spare Parts,Y,Y,22.00,Y,N,25.00,RW5,,,0,"Compatibility | RadWagon 5 | Sizing & Capacity | Installation & Use | Learn more about | tire replacement | . | Overview | Replacement inner tube for | 20"" x 3.3"" tires | . | Inner Tube - 20'' x 3.3'' | You May Also Like | Out of Stock | Safe Shield™ Advanced External Battery (15 Ah) | $599 | Back O",,,,,,,,
accessory_fit,,,inner-tube-20-x-4,"Inner Tube - 20"" x 4""",Spare Parts,N,,,Y,Y,20.00,RE5;RRn+;RRn2;RRn3+,RM4;RMST2;RRn1;RadMini (2016);RadMini (2017);RadMini (2018);RadMini (2019);RadMini Step-Thru (2019),RE5;RM4;RMST2;RRn+;RRn1;RRn2;RRn3+,7,,,,,,,,,
accessory_fit,,,inner-tube-27-5-x-2-0-fv40mm,"Inner Tube - 27.5"" x 1.9” ~ 2.0""",Spare Parts,Y,Y,22.00,N,,,RC5+;RC5+ST,RMis1,RC5+;RC5+ST;RMis1,3,"Compatibility | RadCity 5 Plus, RadMission 1 | Kontact Kenda tires 27.5"" x 1.95"" | Details | PSI Range: 35 - 65 PSI rated | 50 - 60 PSI RAD recommended | Sizing & Capacity | Overview | Replacement inner tube for 27.5” tires 1.9” to 2.0” wide. | Tire performance and replacement information | Inner Tu",,,,,,,,
accessory_fit,,,inner-tube-27-5-x-3-0,Inner Tube - 27.5'' x 3.0'',Spare Parts,Y,Y,22.00,Y,Y,25.00,RsT,,,0,Compatibility | Radster Trail Lg (2024) | Radster Trail Reg (2024) | Decrease quantity for Inner Tube - 27.5&#39;&#39; x 3.0&#39;&#39; | Increase quantity for Inner Tube - 27.5&#39;&#39; x 3.0&#39;&#39; | Back Order | Free shipping on orders over $150* | *Shipping fees and restrictions may apply in ,,,,,,,,
accessory_fit,,,inner-tube-29-x-2-2,Inner Tube - 29'' x 2.2'',Spare Parts,Y,Y,22.00,Y,Y,25.00,RsR,,,0,"Compatibility | Radster Road | Sizing & Capacity | Installation & Use | Learn more about | tire replacement | . | Overview | Replacement inner tube for 29"" x 2.2"" tires. | For use with the | Kenda Kwick Tire - 29"" x 2.2'' | . | Inner Tube - 29'' x 2.2'' | You May Also Like | Out of Stock | Safe Shie",,,,,,,,
accessory_fit,,,kenda-havok-tire-27-5-x-3-0,Kenda Havok Tire - 27.5'' x 3.0'',Spare Parts,Y,Y,70.00,Y,N,65.00,RsT,,,0,Compatibility | Radster Trail Lg (2024) | Radster Trail Reg (2024) | Decrease quantity for Kenda Havok Tire - 27.5&#39;&#39; x 3.0&#39;&#39; | Increase quantity for Kenda Havok Tire - 27.5&#39;&#39; x 3.0&#39;&#39; | Back Order | Free shipping on orders over $150* | *Shipping fees and restrictions m,,,,,,,,
